food_type,protein,fat,carb,sugar,sodium,cholesterol,calcium,kcal
Bread ,5.88,7.06,51.8,15.3,247,0.0,24.0,306
Wheat ,10.7,4.53,47.5,5.73,473,0.0,125,274
Rice (low quality) ,0.3,19.2,16.0,4.2,110,24.0,0.0,967
Wage (qualified labour) ,0.0,0.0,71.4,not found,5360.0,not found,not found,357
Fuel (diesel) ,0.84,0.0,8.86,7.59,36.0,not found,15.0,38.0
Exchange rate ,3.33,0.0,86.7,53.3,0.0,not found,not found,367
Wage (non,not found,not found,not found,not found,not found,not found,not found,not found
Oil (cooking) ,1.26,3.24,30.9,17.0,116,0.0,3.0,144
Sugar ,0.0,0.0,100,100,0.0,not found,not found,375
Pulses ,17.9,7.14,60.7,10.7,393,0.0,107,393
Wheat flour (high quality) ,30.8,37.1,26.6,not found,41.0,0.0,159,526
Salt ,0.0,0.0,0.0,not found,39300.0,not found,not found,0.0
Rice (high quality) ,0.0,100,0.0,0.0,6.0,0.0,1.0,3700.0
Wheat flour (low quality) ,33.8,21.9,31.3,not found,1.0,0.0,130,1790.0
Oil (palm) ,0.0,100,0.0,0.0,0.0,0.0,0.0,3700.0
Cassava flour ,0.0,0.0,88.6,0.0,0.0,0.0,57.0,371
Maize flour ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
"Rice (regular, milled) ",6.4,1.89,85.1,8.0,809,0.0,370,375
Milk (powder) ,45.7,17.1,18.5,5.71,329,21.0,500,1720.0
Oil (soybean) ,not found,not found,not found,not found,not found,not found,not found,not found
Sugar (white) ,0.0,0.32,99.6,99.8,1.0,0.0,1.0,385
Wheat flour ,6.67,20.0,66.7,6.67,800,0.0,0.0,467
Milk ,3.39,2.12,5.08,5.08,55.0,8.0,127,55.0
Potatoes ,2.7,0.0,16.9,0.68,0.0,0.0,0.0,74.0
Rice (white) ,6.5,4.21,25.2,0.21,231,0.0,54.0,164
Meat (beef) ,17.5,10.7,7.19,1.85,420,74.0,65.0,200
Maize (yellow) ,8.75,5.09,73.9,not found,5.0,not found,5.0,364
