,Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unit
163,CPIM.SAP0100,2020.01,4.27,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Oranges,1kg,0,1kg
346,CPIM.SAP0101,2020.01,3.0,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Bananas,1kg,0,1kg
529,CPIM.SAP0102,2020.01,4.62,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Apples,1kg,0,1kg
712,CPIM.SAP0103,2020.01,7.78,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Kiwifruit,1kg,0,1kg
895,CPIM.SAP0104,2020.01,2.23,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Sultanas (supermarket only),375g,0,375g
1078,CPIM.SAP0105,2020.01,1.52,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Peaches - canned (supermarket only),410g,0,410g
1261,CPIM.SAP0106,2020.01,2.46,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Lettuce,1kg,0,1kg
1444,CPIM.SAP0107,2020.01,7.54,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Broccoli,1kg,0,1kg
1627,CPIM.SAP0108,2020.01,1.81,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Cabbage,1kg,0,1kg
1810,CPIM.SAP0109,2020.01,3.35,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Tomatoes,1kg,0,1kg
1993,CPIM.SAP0110,2020.01,2.11,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Carrots,1kg,0,1kg
2176,CPIM.SAP0111,2020.01,12.49,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Mushrooms,1kg,0,1kg
2359,CPIM.SAP0112,2020.01,2.06,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Potatoes,1kg,0,1kg
2542,CPIM.SAP0113,2020.01,2.41,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Peas - frozen (supermarket only),1kg,0,1kg
2725,CPIM.SAP0114,2020.01,20.64,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Beef steak - blade,1kg,0,1kg
2908,CPIM.SAP0115,2020.01,30.42,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Beef steak - porterhouse/sirloin,1kg,0,1kg
3091,CPIM.SAP0116,2020.01,17.07,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Beef - mince,1kg,0,1kg
3274,CPIM.SAP0117,2020.01,18.03,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Pork - loin chops,1kg,0,1kg
3457,CPIM.SAP0118,2020.01,18.07,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Lamb - chops,1kg,0,1kg
3640,CPIM.SAP0120,2020.01,10.42,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Sausages,1kg,0,1kg
3823,CPIM.SAP0121,2020.01,2.77,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Tuna - canned (supermarket only),185g,0,185g
4006,CPIM.SAP0123,2020.01,2.79,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Biscuits - chocolate,200g,0,200g
4189,CPIM.SAP0124,2020.01,5.85,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Breakfast biscuits,1kg,0,1kg
4372,CPIM.SAP0125,2020.01,2.03,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Flour - white (supermarket only),1.5kg,0,5kg
4555,CPIM.SAP0126,2020.01,2.64,FINAL,Dollars,Consumers Price Index - CPI,Food Price Index Selected Monthly Weighted Average Prices for New Zealand,Rice - long grain,white (supermarket only),1kg,1kg
