,Country Name,2019
2,Afghanistan,149.8959752
4,Angola,378.8837215
9,Argentina,
10,Armenia,129.1760073
16,Burundi,182.11234
18,Benin,110.7200402
19,Burkina Faso,108.3590229
20,Bangladesh,179.6798217
25,Belarus,508.3392944
28,Bolivia,148.3175185
32,Bhutan,167.1824587
34,Central African Republic,151.7850853
41,Cote d'Ivoire,111.6069779
43,Democratic Republic of the Congo,
44,Congo,124.7404961
45,Colombia,140.9503739
47,Cape Verde,110.5016065
56,Djibouti,120.2509224
66,Ecuador,124.1426747
67,Egypt,288.5727744
72,Ethiopia,319.0193686
83,Ghana,248.4415436
85,Guinea,262.9498896
86,Gambia,172.7304356
87,Guinea-Bissau,112.7180728
106,Indonesia,151.1766751
112,Iran  (Islamic Republic of),550.9294253
113,Iraq,119.6186996
118,Jordan,125.6040026
119,Japan,105.4821721
120,Kazakhstan,188.5164343
121,Kenya,189.966315
122,Kyrgyzstan,155.6761524
123,Cambodia,
129,Lao People's Democratic Republic,135.8665747
130,Lebanon,130.0246118
131,Liberia,
132,Libya,
138,Sri Lanka,155.528883
154,Mexico,141.542523
158,Mali,108.7260798
160,Myanmar,168.1827007
163,Mongolia,195.7629029
165,Mozambique,182.3147834
166,Mauritania,135.0188968
168,Malawi,418.3443255
171,Namibia,157.968368
173,Niger,109.3236868
174,Nigeria,267.5115151
178,Nepal,188.7299772
184,Pakistan,182.3209327
186,Peru,129.7845443
187,Philippines,129.6132572
195,Paraguay,143.821041
196,State of Palestine,112.516118
203,Rwanda,151.0666524
207,Senegal,109.2512702
210,Sierra Leone,234.1587095
213,Somalia,
216,South Sudan,15749.18876
224,Swaziland,166.8218664
227,Syrian Arab Republic,
229,Chad,117.6982047
232,Togo,113.310442
233,Thailand,113.26565
234,Tajikistan,
244,Turkey,234.4371263
247,Uganda,173.8712682
262,Yemen,
264,Zambia,212.308759
269,Bassas da India,
